Borehole,NAPL level (mbgl),Water Level (mbgl),Easting,Northing,BH Elevation (mamsl),GW_Elevation_mamsl,NAPL_Present
S22,,1.26,32.789,37.19099999999162,38.602,37.342,False
S23,,2.0,33.046,26.3410000000149,38.472,36.472,False
S12,,1.38,34.038,63.29100000002654,38.8255,37.445499999999996,False
S2,,1.13,34.191,93.63099999999395,39.049,37.919,False
S17,1.57,2.38,40.5633,56.31410000001779,38.8255,36.445499999999996,True
S5,1.27,2.9,42.2867,47.0512999999919,38.78,35.88,True
S21,,1.81,42.433,40.04300000000512,38.78,36.97,False
S10,,1.63,42.4892,75.773600000015,39.0175,37.387499999999996,False
S11,,1.64,48.0134,68.8805000000284,39.0175,37.3775,False
S16,,1.66,52.3324,63.291199999977835,39.0175,37.3575,False
S18,,1.72,52.6038,40.7612000000081,38.812,37.092,False
S18B,,1.51,52.6038,40.7612000000081,38.812,37.302,False
S1,,0.42,65.715,174.83699999999953,39.4,38.98,False
S20,,2.58,67.7547,35.180300000007264,39.0175,36.4375,False
S13,,1.22,69.6259,57.54409999999916,39.0175,37.7975,False
S3,,0.91,75.1967,92.02210000000196,38.95,38.040000000000006,False
S4,,1.61,75.3333,49.78659999999218,39.02,37.410000000000004,False
S19,,2.59,76.326,34.81339999998454,39.0175,36.427499999999995,False
S9,,1.04,76.6114,68.56550000002608,39.0175,37.9775,False
S14,,1.59,79.4296,56.37219999998342,39.0175,37.427499999999995,False
S6,,1.19,81.347,80.38799999997718,38.86,37.67,False
S15,,2.16,82.0641,52.37420000002021,39.0175,36.8575,False
S7,,1.44,82.5535,67.64490000001388,39.0175,37.5775,False
S8,,1.11,91.622,63.13900000002468,38.779,37.669000000000004,False
