Borehole,Easting,Northing,BH Elevation (mamsl),Water Level (mbgl),GW_Elevation_mamsl
S1,65.715,174.83699999999953,39.4,0.42,38.98
S3,75.1967,92.02210000000196,38.95,0.91,38.040000000000006
S9,76.6114,68.56550000002608,39.0175,1.04,37.9775
S2,34.191,93.63099999999395,39.049,1.13,37.919
S13,69.6259,57.54409999999916,39.0175,1.22,37.7975
S6,81.347,80.38799999997718,38.86,1.19,37.67
S8,91.622,63.13900000002468,38.779,1.11,37.669000000000004
S7,82.5535,67.64490000001388,39.0175,1.44,37.5775
S12,34.038,63.29100000002654,38.8255,1.38,37.445499999999996
S14,79.4296,56.37219999998342,39.0175,1.59,37.427499999999995
S4,75.3333,49.78659999999218,39.02,1.61,37.410000000000004
S10,42.4892,75.773600000015,39.0175,1.63,37.387499999999996
S11,48.0134,68.8805000000284,39.0175,1.64,37.3775
S16,52.3324,63.291199999977835,39.0175,1.66,37.3575
S22,32.789,37.19099999999162,38.602,1.26,37.342
S18B,52.6038,40.7612000000081,38.812,1.51,37.302
S18,52.6038,40.7612000000081,38.812,1.72,37.092
S21,42.433,40.04300000000512,38.78,1.81,36.97
S15,82.0641,52.37420000002021,39.0175,2.16,36.8575
S23,33.046,26.3410000000149,38.472,2.0,36.472
S17,40.5633,56.31410000001779,38.8255,2.38,36.445499999999996
S20,67.7547,35.180300000007264,39.0175,2.58,36.4375
S19,76.326,34.81339999998454,39.0175,2.59,36.427499999999995
S5,42.2867,47.0512999999919,38.78,2.9,35.88
